Baseload,HP,HP_Congestion,time
8.98231823983301,23.153450512526916,22.63522333758207,00:00:00.0
4.964533915615392,18.980869802594437,18.477909854021195,00:15:00.0
9.993312997508086,24.200334580919833,23.687785292470135,00:30:00.0
6.132091660786342,20.216382275406275,19.715488464780638,00:45:00.0
5.297771992080774,19.399279776697046,18.893830951032836,01:00:00.0
20.081426519250968,34.94829812686095,34.40018280613749,01:15:00.0
33.496990199047495,49.03861151555367,48.54580194018282,01:30:00.0
20.775309520682207,35.76284303468473,35.22360513901229,01:45:00.0
13.723484571340245,28.361569783284583,27.860266742514977,02:00:00.0
5.798118406587558,20.208722019018953,19.695954907441354,02:15:00.0
5.297748484364758,19.72762659757471,19.222419222415684,02:30:00.0
5.131120144174701,19.600631899062883,19.09642014439545,02:45:00.0
5.798165301158352,20.337773893514154,19.839040055707347,03:00:00.0
15.431229267681456,30.383094955961578,29.86237588419293,03:15:00.0
7.135665714987712,21.65138137215123,21.13669009080971,03:30:00.0
16.97486012051751,31.9482168163601,31.425310497568127,03:45:00.0
14.064409343056804,28.93316522748019,28.41067299231849,04:00:00.0
13.7234820366756,28.64494205237315,28.1284625537675,04:15:00.0
15.431238188764013,30.405057364441408,29.887064132325,04:30:00.0
16.803026174927172,31.89044175247432,31.369838585249905,04:45:00.0
20.428215599419723,35.6932579764651,35.16011871073512,05:00:00.0
22.167059919686903,37.05379214526477,33.84742752396833,05:15:00.0
29.38410100230824,30.813961600846746,34.78303346418722,05:30:00.0
31.345202289980314,47.0454115292325,46.00594092473825,05:45:00.0
24.6153156091678,39.652832254005766,36.6972113155586,06:00:00.0
22.34137392856757,36.70523997882222,35.72140383031353,06:15:00.0
22.515795736927213,33.4028003133673,34.62306148592345,06:30:00.0
22.515814746799787,37.737526388712084,36.262905348893156,06:45:00.0
22.515795736927213,34.56889851337078,34.88162761711211,07:00:00.0
21.470533293013638,36.81460580512815,35.551632838593804,07:15:00.0
24.08930847524138,36.49217476847801,36.67072862194347,07:30:00.0
23.91413922474821,38.01053108657444,36.86579161493913,07:45:00.0
24.264544052559128,36.21427716147642,36.27524038718291,08:00:00.0
50.83081556180507,65.05275047972292,64.00421514260111,08:15:00.0
26.550560383465932,38.30133896701578,38.285827491106936,08:30:00.0
29.739859572628358,44.09095748528552,43.14982397516558,08:45:00.0
25.142100826619195,36.31205198022215,36.20872800584304,09:00:00.0
24.264572371358373,36.5067017462804,35.733672121084645,09:15:00.0
25.493691809548356,41.27064820858851,40.77417532353812,09:30:00.0
21.470524059478194,21.473711464985584,21.471573164654433,09:45:00.0
21.122762139702132,36.599716231753064,36.090385214380795,10:00:00.0
18.69753732231761,31.0537514400716,30.787335090398315,10:15:00.0
18.52489843963578,31.181802160315737,30.356584558157387,10:30:00.0
21.47055311558377,32.95000666641554,32.728544507927005,10:45:00.0
22.86487522547129,35.47119509402839,34.66616069207598,11:00:00.0
23.38913240038359,33.52070671190768,33.25284271521802,11:15:00.0
22.167035970698148,35.82705786427496,35.070693736691275,11:30:00.0
23.91414106484474,33.98009093560873,33.667133025852294,11:45:00.0
26.55055608371446,40.05298632787393,39.35536089245016,12:00:00.0
32.06099808030616,42.53116254831259,42.22291043308505,12:15:00.0
29.384079173661082,42.26909975186375,41.61818549152463,12:30:00.0
24.615305633523672,34.5267102808452,34.14023312349366,12:45:00.0
21.81861001338169,33.35719784550576,32.7329227290864,13:00:00.0
22.167057725523826,36.378830877695876,35.89046174792351,13:15:00.0
22.341368894051758,37.7708218392519,37.263875629718825,13:30:00.0
20.601751127201453,28.033787046190426,27.490390988054454,13:45:00.0
22.690317046036817,34.253521559098644,33.731012813662716,14:00:00.0
21.122750096619004,30.508046404317156,29.966290547211926,14:15:00.0
20.428242869824718,34.684277325680675,34.77046081961518,14:30:00.0
18.1799033966238,28.901105793136274,26.811670711047793,14:45:00.0
17.318777449104463,32.440682137825135,23.426575736153538,15:00:00.0
21.122750096619004,32.86098414144012,35.962695747176056,15:15:00.0
22.86486735183011,38.32030648732224,37.812016718572835,15:30:00.0
23.91413922474821,36.737701805084136,38.962457226685196,15:45:00.0
49.320667096851956,63.51849489158631,65.63813487012018,16:00:00.0
53.490271857431516,68.2142676773972,70.04862906418279,16:15:00.0
53.10903642615346,67.683280741772,69.64503581426682,16:30:00.0
44.459144020433335,56.912627004848076,60.50501081953221,16:45:00.0
63.75974801475148,81.3156696361385,63.76081936949104,17:00:00.0
67.92218032373714,79.63272449838855,67.92327301645885,17:15:00.0
70.12489537187902,87.65535052096078,70.12596377082015,17:30:00.0
69.92399915299943,81.68422438550134,69.925068713916,17:45:00.0
69.92399984762906,87.73248092383555,69.92507095816337,18:00:00.0
63.16958023818845,74.714061191741,63.17064141604823,18:15:00.0
62.58052108281369,77.5355478204336,62.581573906719925,18:30:00.0
65.93315967388067,79.93482985350639,65.93424727792947,18:45:00.0
67.5233655771254,83.88370744583571,84.83110145019467,19:00:00.0
75.39501769266634,91.64784965562046,93.38593035481342,19:15:00.0
70.32592022693147,86.49013198856069,88.06165033044682,19:30:00.0
61.014986714032574,76.9835063522972,78.23476824325155,19:45:00.0
53.29959768871487,69.04324156558492,70.13464903408853,20:00:00.0
45.3886167361517,60.4787400395963,61.82174936401968,20:15:00.0
39.666191575989075,53.96756769090571,55.78279076234999,20:30:00.0
39.117448849507554,52.459004370598215,55.17670653045394,20:45:00.0
42.42317219463235,59.10011690078664,58.634684657010425,21:00:00.0
45.38862199952898,45.3911889509165,45.38968052910417,21:15:00.0
38.20476551422486,38.20676331093309,38.20583066027755,21:30:00.0
15.773705630936547,15.776295104394853,15.774713004270279,21:45:00.0
14.064408503815352,14.068315470234047,14.065434112763803,22:00:00.0
10.66881577133667,10.674553681545797,10.669839382333992,22:15:00.0
10.837888822821448,10.840959038947004,10.83890493041494,22:30:00.0
7.973925450885526,7.976053495796435,7.975014669382537,22:45:00.0
8.81406592274738,8.816105278809857,8.815155119838348,23:00:00.0
9.150619138339888,9.152290843163856,9.151747509696849,23:15:00.0
21.818636062298932,21.823988550294235,21.819656295772628,23:30:00.0
33.49697821694493,33.50086159435318,33.498013371898715,23:45:00.0
