P_kw,Q_kw,J_heat_euro,PPD,T_i,T_e,T_h,P_HP,Φ_HP,Φ_CV
23.153450512526916,0.16687426665929603,2.2782761569066783,9.733333333333333,20.0,20.0,20.0,1.0840986858778443,4.999999323050728,14.799990000159053
18.980869802594437,0.03783678926411237,2.2786543124802057,9.756703110148344,19.984066061262492,19.999199322271625,36.40667628580559,1.0859061994534827,4.999999241111369,14.799979735098951
24.200334580919833,0.16050345637557079,1.4410851557842412,9.668426317288485,20.04425478366694,19.99847979945024,49.42248065452315,1.0840986264805699,4.999999049103039,8.75769749538006
20.216382275406275,-0.1521555083608027,0.754934012549309,9.513235453053785,20.150066736554237,19.99806646508069,54.75442953840406,1.0877167286654372,4.999999105328235,3.8000272518535603
19.399279776697046,0.03096385701937169,0.22918286582996827,9.342911107175091,20.26619697238062,19.998038718009475,54.89735188782986,1.091346980142706,4.999999157544943,0.0
34.94829812686095,0.012931356440267572,0.2307152874646214,9.18929259072842,20.370936869957895,19.998390046883085,51.884389272118696,1.0986442260220066,4.999999111426101,0.0
49.03861151555367,-0.4128125981233523,0.23225812047820224,9.061879578053556,20.457809378599848,19.999054405953267,49.51478642052449,1.1059910498962011,4.999999045782289,0.0
35.76284303468473,-0.0028255838589770358,0.23225811116538528,8.95564671803125,20.5302408740696,19.999974965432187,47.652055253668756,1.1059910055494537,4.999998845298121,0.0
28.361569783284583,0.11824932626643636,0.2322581046665057,8.864674359914499,20.592267481876476,20.001124432948963,46.18873229737943,1.1059909746024081,4.9999987053917465,0.0
20.208722019018953,0.027291460175238456,0.23381148501441915,8.785866785853145,20.645999918736486,20.0024697512845,45.04022410731197,1.1133880238781866,4.99999854114583,0.0
19.72762659757471,0.027539135121885442,0.2345921715430247,8.718727389708633,20.691776779744114,20.00396575014353,44.13969156551801,1.1171055787763082,4.9999983556466825,0.0
19.600631899062883,0.03376011030279885,0.2353755388660027,8.660306542882225,20.731609175307568,20.005596137213846,43.43438018696288,1.1208358993619176,4.99999794779014,0.0
20.337773893514154,0.02769895602872543,0.23616161833841526,8.609059738518695,20.766550178282706,20.007341749521864,42.8827670986519,1.1245791349448346,4.9999976020313355,0.0
