P_kw,Q_kw,J_heat_euro,PPD,T_i,T_e,T_h,P_HP,Φ_HP,Φ_CV
22.63522333758207,-0.178072329353785,2.2782773730238985,9.733333333333333,20.00000016936778,20.000000675346975,20.000000674193025,1.0840989782010413,5.000000143091537,14.799998334234054
18.477909854021195,-0.1163445198643227,2.278657219901792,9.756703084869574,19.984066254548832,19.999199996753337,36.40668428544243,1.085906512351707,5.000000154665501,14.800000244709242
23.687785292470135,-0.19367272682347075,1.4626921565161444,9.668426163278319,20.044255061794804,19.99848047324548,49.42250464239059,1.0840989804476895,5.000000153453361,8.913642042324492
19.715488464780638,-0.1316680516856008,0.7549303703079231,9.512721318042518,20.150417374819707,19.998067384949326,54.88371942535876,1.0877170713592206,5.000000154467127,3.8000004451560345
18.893830951032836,-0.12121986751532486,0.22918293595850156,9.341530434214569,20.267138430663472,19.998041909566062,54.99999664900409,1.0913473140881027,5.000000163396406,0.0
34.40018280613749,-0.4181801030088778,0.23071535996499798,9.187247746532593,20.37233117226758,19.99839730826651,51.96603383636926,1.0986445712618953,5.000000162563848,0.0
48.54580194018282,-0.8653132354327557,0.2322581962849442,9.059329624511387,20.45954807386099,19.99906726600358,49.5798591692117,1.1059914108806868,5.000000161681566,0.0
35.22360513901229,-0.43999663015628276,0.23225819625409025,8.952716656391615,20.532238733480007,19.999994276509344,47.70404829006329,1.1059914107337632,5.000000161017349,0.0
27.860266742514977,-0.2685271035891754,0.23225819624055083,8.861462355007047,20.594457575022886,20.001150944028424,46.23039937090951,1.1059914106692899,5.000000160725874,0.0
19.695954907441354,-0.13202810714849808,0.2338115846970505,8.782449848595947,20.64832973832537,20.00250401059743,45.0737366700616,1.1133884985573832,5.000000160776506,0.0
19.222419222415684,-0.12513995413385928,0.23459228016974204,8.715165860068039,20.694205184980092,20.004008139991154,44.16676201400887,1.1171060960463906,5.0000001608010995,0.0
19.09642014439545,-0.12492397832713546,0.2353756669355867,8.656647625556419,20.73410398123515,20.005646914740808,43.45635897488388,1.1208365092170796,5.00000016023764,0.0
19.839040055707347,-0.13363719301053198,0.2361617629908545,8.605340288292789,20.76908625672264,20.007401064476458,42.9007194314988,1.124579823765974,5.000000158488759,0.0
29.86237588419293,-0.3121488510224768,0.23576837497065342,8.560011899138672,20.799991976689565,20.009254662542055,42.46688418011587,1.122706547479302,5.000000155271207,0.0
21.13669009080971,-0.15328249160355456,0.23459227969599425,8.518224912275178,20.82848310422236,20.011208498351543,42.12897832695079,1.117106093790449,5.0000001507038405,0.0
31.425310497568127,-0.3469109392172632,0.2349836353239927,8.478264412122012,20.855728899924447,20.01326413888957,41.866773260008664,1.1189696920190129,5.000000145837534,0.0
28.41067299231849,-0.28159035979944846,0.23537566593826373,8.441515816666774,20.880784760615345,20.015398849556664,41.66424107512072,1.1208365044679227,5.000000139051866,0.0
28.1284625537675,-0.27639113375195556,0.2365558312782767,8.407492836428029,20.903982247255858,20.01760536109597,41.508613465366395,1.1264563394203653,5.00000012776981,0.0
29.887064132325,-0.31258066458496325,0.23616176056088858,8.376781657322129,20.92492168763437,20.01986808160856,41.38975455885823,1.1245798121947075,5.0000001070416875,0.0
31.369838585249905,-0.34627033309557087,0.23695058084243684,8.347102641076585,20.94515738056174,20.022198148141403,41.29975450747855,1.1283360992496991,5.0,0.0
35.16011871073512,-0.43902027681686584,0.23695056619054386,8.31969317626466,20.96384565201154,20.02457909503393,41.23240348602738,1.1283360294787803,4.999999727278901,0.0
33.84742752396833,-0.39605005898929135,0.1878747758677083,8.29336894981866,20.981793981677566,20.02701501512543,41.182780439134305,0.89464178984623,3.9446456816816395,0.0
34.78303346418722,-0.39968876145747895,0.08587334389513443,8.272918437432415,20.99573752595624,20.029486472249424,40.27213105919873,0.40892068521492586,1.8000040889953024,0.0
46.00594092473825,-0.7702420889805346,0.22797950916012139,8.266666666666667,21.00000013080515,20.031978912869448,37.77452491397452,1.0856167102862924,4.794680068647199,0.0
36.6972113155586,-0.4714490126479253,0.19274534868130172,8.266666666666667,21.00000014577489,20.034473531145593,38.275994240219944,0.9178349937204844,4.0401648925400195,0.0
35.72140383031353,-0.4494785033085279,0.21445993458249824,8.266666666666667,21.00000013087876,20.03695218967488,38.04839944106986,1.0212377837261821,4.495327723129781,0.0
34.62306148592345,-0.4171826035685207,0.19438958793440217,8.266666666666667,21.0,20.039421415239367,38.24510796078542,0.9256647044495342,4.074630048737717,0.0
36.262905348893156,-0.46505511930105653,0.22008520788023272,8.266666666666667,21.0,20.041882475887977,38.05246738777325,1.0480247994296796,4.6055515185944875,0.0
34.88162761711211,-0.424696084026438,0.19844754813416243,8.266666666666667,21.000000120305653,20.044329971793346,38.339677210027055,0.9449883244483925,4.145835465800847,0.0
35.551632838593804,-0.4471062770113105,0.22602567660081532,8.266666666666667,21.0,20.046765347098727,38.18647157123232,1.076312745718168,4.706250066491333,0.0
36.67072862194347,-0.4727364147782201,0.20085788212797823,8.266666666666667,21.00000018076178,20.04918619027947,38.529395440166056,0.9564661053713249,4.168278431323692,0.0
36.86579161493913,-0.4785482253007018,0.20675734442776578,8.266666666666667,21.0,20.051600242932988,38.355521426858715,0.9845587829893608,4.290706309735981,0.0
36.27524038718291,-0.4604652025361386,0.19183468212757102,8.266666666666667,21.000000117711902,20.054023986624998,38.31909196204216,0.9134984863217668,3.9810255637295198,0.0
64.00421514260111,-1.55058729350761,0.19275850699269598,8.266666666666667,21.000000131709427,20.05647027961256,38.03356781358121,0.9178976523461713,4.000197127582939,0.0
