timestamp,Φ_s,T_a,λ_e,usage_total_pu
2024-02-05T19:00:00.0,0.0,9.7,0.21,0.016666666666666666
2024-02-05T19:15:00.0,0.0,9.45,0.21,0.0184
2024-02-05T19:30:00.0,0.0,9.3,0.21,0.01728888888888889
2024-02-05T19:45:00.0,0.0,9.149999999999999,0.21,0.0152
2024-02-05T20:00:00.0,0.0,9.0,0.21,0.013422222222222223
2024-02-05T20:15:00.0,0.0,8.9,0.21,0.011555555555555555
2024-02-05T20:30:00.0,0.0,8.9,0.21,0.010177777777777777
2024-02-05T20:45:00.0,0.0,8.95,0.21,0.010044444444444444
2024-02-05T21:00:00.0,0.0,9.0,0.21,0.010844444444444446
2024-02-05T21:15:00.0,0.0,9.149999999999999,0.21,0.011555555555555555
2024-02-05T21:30:00.0,0.0,9.2,0.21,0.009822222222222222
2024-02-05T21:45:00.0,0.0,9.3,0.21,0.0041777777777777785
2024-02-05T22:00:00.0,0.0,9.3,0.21,0.0037333333333333337
2024-02-05T22:15:00.0,0.0,9.4,0.21,0.0028444444444444446
2024-02-05T22:30:00.0,0.0,9.4,0.21,0.0028888888888888888
2024-02-05T22:45:00.0,0.0,9.4,0.21,0.0021333333333333334
2024-02-05T23:00:00.0,0.0,9.4,0.21,0.0023555555555555556
2024-02-05T23:15:00.0,0.0,9.45,0.21,0.0024444444444444444
2024-02-05T23:30:00.0,0.0,9.6,0.21,0.005733333333333333
2024-02-05T23:45:00.0,0.0,9.6,0.21,0.008666666666666668
