P,Q,J_heat
8.98231823983301,-0.02464358610863505,0.0
4.964533915615392,-0.008028774582555834,0.0
9.993312997508086,-0.030325628444520455,0.0
6.132091660786342,-0.011811910104929341,0.0
5.297771992080774,-0.009385225818890609,0.0
20.081426519250968,-0.12516688507701695,0.0
33.496990199047495,-0.3633896902343712,0.0
20.775309520682207,-0.13428579152704043,0.0
13.723484571340245,-0.05732133102337322,0.0
5.798118406587558,-0.010779909313034092,0.0
5.297748484364758,-0.009398301358865269,0.0
5.131120144174701,-0.008773135610582178,0.0
5.798165301158352,-0.01077899385046585,0.0
15.431229267681456,-0.07270514893120512,0.0
7.135665714987712,-0.015823309116883247,0.0
16.97486012051751,-0.08840672796711636,0.0
14.064409343056804,-0.0602403693381355,0.0
13.7234820366756,-0.057334433096947836,0.0
15.431238188764013,-0.07270981269805823,0.0
16.803026174927172,-0.08658014872746884,0.0
20.428215599419723,-0.12968499065420272,0.0
22.167059919686903,-0.1537392813746823,0.0
29.38410100230824,-0.27620344216737136,0.0
31.345202289980314,-0.31609696333130394,0.0
24.6153156091678,-0.191354587799798,0.0
22.34137392856757,-0.15629092692340418,0.0
22.515795736927213,-0.15886451025542178,0.0
22.515814746799787,-0.1588592222440245,0.0
22.515795736927213,-0.15886451025542178,0.0
21.470533293013638,-0.1437585817669538,0.0
24.08930847524138,-0.18295607002006165,0.0
23.91413922474821,-0.18019922404170388,0.0
24.264544052559128,-0.18573449968370492,0.0
50.83081556180507,-0.8875781088167466,0.0
26.550560383465932,-0.22387565546726065,0.0
29.739859572628358,-0.28321515184048696,0.0
25.142100826619195,-0.19996504657353512,0.0
24.264572371358373,-0.1857350972362746,0.0
25.493691809548356,-0.2058067365733627,0.0
21.470524059478194,-0.14376081926168363,0.0
21.122762139702132,-0.13897827216341924,0.0
18.69753732231761,-0.1079525706497848,0.0
18.52489843963578,-0.10589023132390699,0.0
21.47055311558377,-0.1437611843644584,0.0
22.86487522547129,-0.16407240905684695,0.0
23.38913240038359,-0.17203799596134892,0.0
22.167035970698148,-0.1537341469942765,0.0
23.91414106484474,-0.1801992656148127,0.0
26.55055608371446,-0.22387570359626308,0.0
32.06099808030616,-0.3314192109109136,0.0
29.384079173661082,-0.2762026851441753,0.0
24.615305633523672,-0.19135888404353185,0.0
21.81861001338169,-0.1487000803300767,0.0
22.167057725523826,-0.1537392800740844,0.0
22.341368894051758,-0.1562906698560866,0.0
20.601751127201453,-0.13197776044961929,0.0
22.690317046036817,-0.1614533599564908,0.0
21.122750096619004,-0.13898047672164002,0.0
20.428242869824718,-0.12968564531827104,0.0
18.1799033966238,-0.10184570029821488,0.0
17.318777449104463,-0.0921251406656015,0.0
21.122750096619004,-0.13898047672164002,0.0
22.86486735183011,-0.1640722219345991,0.0
23.91413922474821,-0.18019922404170388,0.0
49.320667096851956,-0.8317495876028597,0.0
53.490271857431516,-0.9925352811125732,0.0
53.10903642615346,-0.9770475984125383,0.0
44.459144020433335,-0.6654397147788338,0.0
63.75974801475148,-1.474994763326747,0.0
67.92218032373714,-1.6942399878723036,0.0
70.12489537187902,-1.8160989080770351,0.0
69.92399915299943,-1.804573145329893,0.0
69.92399984762906,-1.8045697823416376,0.0
63.16958023818845,-1.4438976712974216,0.0
62.58052108281369,-1.413035213603645,0.0
65.93315967388067,-1.5896194329090603,0.0
67.5233655771254,-1.673116792584479,0.0
75.39501769266634,-2.144247998718447,0.0
70.32592022693147,-1.8277125708757775,0.0
61.014986714032574,-1.3325193509389452,0.0
53.29959768871487,-0.9847707593274557,0.0
45.3886167361517,-0.6960126989202224,0.0
39.666191575989075,-0.5196444069998701,0.0
39.117448849507554,-0.5044391149288343,0.0
42.42317219463235,-0.6007626071287593,0.0
45.38862199952898,-0.6960129559778837,0.0
38.20476551422486,-0.479748370894726,0.0
15.773705630936547,-0.07605671460128517,0.0
14.064408503815352,-0.06024004418530769,0.0
10.66881577133667,-0.03448024061727471,0.0
10.837888822821448,-0.03558420181840484,0.0
7.973925450885526,-0.019613748956034925,0.0
8.81406592274738,-0.02375730163142096,0.0
9.150619138339888,-0.02555228724886428,0.0
21.818636062298932,-0.14870031164402053,0.0
33.49697821694493,-0.3633897936904805,0.0
