date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2/11/2025 0:00,0.431068172,0.192140822,0.104295653,0.176520591,0.171931775,0.136049381,-0.072370688,0.225631826,0.888947395,0.096045611,0.054116976,0.112410483,0.153437746,0.160701151,0.168666669,2.189666672,0.432864861,0.081947819,0.172489379,0.241358051,0.382113494,0.101086958,0.231658009,0.100489359,0.102984576,0.246209764,0.24133334,0.157268295,0.060977528,0.312832517,0.067782611,0.104888888,0.185247192,0.219277304,0.128723798,0.118609757,0
2/11/2025 0:15,0.130666666,0.136973662,0.104144939,0.067856201,0.159755547,0.113123456,0.07286667,0.217422217,0.209923074,0.114352366,-0.047166668,0.139155058,0.193621683,0.131160919,0.090427911,3.901478278,0.253555558,0.091724628,0.12886526,0.141511123,0.296796312,0.093000001,0.152999991,0.08882539,0.140677771,0.188629308,0.245153546,0.131179013,0.060325581,0.479347568,0.048936171,0.915888878,0.220411766,0.157452378,0.141895231,0.119390244,0
2/11/2025 0:30,0.144627903,0.256466672,0.161782971,0.114703964,0.140473404,0.131888889,0.024627896,0.206644448,0.157527026,0.206227772,0.060882351,0.107351529,0.161489159,0.120155044,0.277177779,4.263638324,0.297545454,0.059179711,0.078075166,0.197263577,0.238966673,0.123465117,0.172457254,0.050825397,0.150682919,0.206711138,0.24950001,0.497197538,0.065643679,0.380536588,0.131297873,0.276321839,0.069373595,0.162938098,0.225938082,0.059951219,0
2/11/2025 0:45,0.199666663,0.154906363,0.105313659,0.149109334,0.24341269,0.101395062,0.02475396,0.213977769,0.137189192,0.14883835,-0.118412699,0.164259167,0.185851403,0.102224139,0.220666663,4.378397083,0.240129871,0.051181819,0.09770781,0.165933334,0.148277777,0.103000001,0.210879457,0.10837778,0.114454023,0.269957716,0.280576468,1.588414663,0.081764048,0.211547979,0.089521741,0.82816853,0.276358054,0.231670587,0.184990471,-0.228969512,0
2/11/2025 1:00,0.211123596,0.20722226,0.109985029,0.199191548,0.131361243,0.131358025,0.028039389,0.47494756,0.200532466,0.100055564,0.05695303,0.133151167,0.213845792,0.179896551,0.207307693,2.890488854,-0.046158008,0.111939131,0.120983342,0.17497778,0.108576244,0.131125004,0.226599998,0.103088889,0.054685398,0.193925207,0.24002222,0.873987658,0.08788889,0.464543075,-0.046208331,0.717166649,0.252034447,0.197723813,0.19824761,0.089691354,0
2/11/2025 1:15,0.212999999,0.214038091,0.128075365,0.169202686,0.199888883,0.110654321,0.028513107,0.181289386,0.166461539,0.085933333,0.062459082,0.100805993,0.174608124,0.264494253,0.119095132,1.586207094,0.120933334,0.120869567,0.104822224,0.153522107,0.136089138,0.123260871,0.260145993,0.118991303,0.065186438,0.239710592,0.207696309,1.146641968,0.063786517,0.278185365,0.092037271,0.393777779,0.24027415,0.212478994,0.191661903,0.081949471,0
2/11/2025 1:30,0.209590907,0.182911105,0.160944919,0.114643098,0.102266662,0.118308641,0.02194444,1.118222204,0.131603898,0.100385136,0.057900438,0.131286915,0.141933332,0.220777779,0.327878159,1.53920459,0.10841025,0.050391305,0.087791668,0.160912371,0.139047128,0.109000001,0.172300443,0.154293637,0.135586108,0.183740392,0.28509167,1.018404291,0.057285714,0.369337335,0.080195657,0.956888899,0.205871916,0.289095242,0.245723804,0.207466897,0
2/11/2025 1:45,0.116370783,0.193652762,0.099634779,0.109685447,0.246384265,0.125941176,0.032999999,0.675361125,0.186108109,0.236035298,0.105136645,0.18474603,0.239704071,0.17567442,0.224839077,1.622435904,0.302827054,0.104488888,0.112078256,0.182564346,0.057611119,0.093000001,0.172466683,0.145391294,0.137168584,0.252715459,0.247705671,0.775681462,0.079666666,0.560016245,0.016880338,0.092111113,0.129619386,0.361333333,0.22883332,0.19625691,0
2/11/2025 2:00,0.109999999,0.208687355,0.107137587,0.146628457,0.128851153,0.128059701,0.032999999,0.148666649,0.207733332,0.241428072,0.106352938,0.087638942,0.169918516,0.133574713,0.019800007,1.564132195,0.105219901,0.087892754,0.11127083,0.405799993,0.212215736,0.113000001,0.197409022,0.118260861,0.130604547,0.20626504,0.25284168,0.423324009,0.060965117,0.359204879,0.060249647,0.888058848,0.123149317,0.691171439,0.154933318,0.095958338,0
2/11/2025 2:15,0.123568181,0.180442851,0.143292745,0.200675037,0.158244447,0.099666667,0.046333333,0.24549849,0.134216217,0.173707245,0.107928572,0.116129584,0.166621684,0.172156627,0.311111124,1.475980686,0.133972971,0.10064058,0.086688891,0.170751414,0.110057668,0.158510638,0.093652628,0.054044445,0.104763885,0.208185347,0.307266667,0.08775,-0.130722222,0.585598381,0.035700706,0.546555551,0.120191804,0.239461897,0.205495218,0.147583737,0
