StartNode,EndNode,Length,cable,Inom,R,X
0,1,22.21,50Al,0.12528,0.01423661,0.00188785
1,2,15.57,95Al,0.18386,0.0049824,0.00127674
2,3,18.26,95Al,0.18386,0.0058432,0.00149732
2,4,6.71,95Al,0.18386,0.0021472,0.00055022
